순번,변수명,분류,역할,권장논리자료형,단위,정의_계산식,기준시점_범위,원천,모델사용,결측조건,현재결측수,현재결측률_pct,현재비결측고유값수,현재최솟값,현재최댓값
24,동_동일업종수_lag1q,과거 상권·경쟁,독립변수 후보 X,정수,사업자 수(개),s에 영업 중인 같은 구×행정동×업종의 사업자 수 N_s. 당시 대상자 자신도 영업 중이면 포함.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,296,0.0,803.0
25,구_동일업종비율_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,비율(소수),구_동일업종수_lag1q / 구_전체사업장수_lag1q.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,구 전체 영업수(분모)=0이면 NA.,0,0.0,1925,0.0,0.6181318681318682
26,동_동일업종비율_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,비율(소수),동_동일업종수_lag1q / 동_전체사업장수_lag1q.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,동 전체 영업수(분모)=0이면 NA.,0,0.0,2473,0.0,0.8230088495575221
27,동_동일업종_신규수_4q_lag1q,과거 상권·경쟁,독립변수 후보 X,정수,사업자 수(개),"같은 구×행정동×업종에서 사건창 (b, s]에 인허가된 사업자 수 E. 창 안에 폐업한 신규 사업자도 포함.","s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,"(b,s]가 과거 사건 수집 시작일 2015-01-01 이전을 포함하면 NA.",0,0.0,85,0.0,160.0
28,동_동일업종_폐업수_4q_lag1q,과거 상권·경쟁,독립변수 후보 X,정수,사업자 수(개),"같은 구×행정동×업종에서 사건창 (b, s]에 폐업한 사업자 수 C. t0 이후 Y용 폐업과 구분되는 과거 사건.","s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,"(b,s]가 과거 사건 수집 시작일 이전을 포함하면 NA.",0,0.0,77,0.0,179.0
29,동_동일업종_신규진입률_4q_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,비율(소수),E / N_b. 창 시작 영업수 대비 신규수이므로 1을 초과할 수 있음.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,N_b=0 또는 사건창 관측 부족이면 NA.,167,0.21483,749,0.0,7.066666666666666
30,동_동일업종_폐업률_4q_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,비율(소수),C / (N_b + E). 창 시작 영업수와 창 내 신규수를 합친 사업자 수가 분모.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,N_b+E=0 또는 사건창 관측 부족이면 NA.,26,0.033447,672,0.0,1.0
31,동_동일업종_순증감률_4q_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,비율(소수),"(N_s - N_b) / N_b. 양수는 사업체 증가, 음수는 감소.","s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,N_b=0 또는 사건창 관측 부족이면 NA.,167,0.21483,733,-1.0,4.0
32,동_동일업종_평균업력_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,연(연환산),s에 영업 중인 같은 구×행정동×업종 사업자의 평균 (s - 인허가일)/365.25.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,s에 같은 시장의 영업 사업자가 없으면 NA.,27,0.034733,2873,0.0027378507871321013,60.84873374401095
33,지역대비_업력비율_lag1q,과거 상권·경쟁,독립변수 후보 X,실수,배,대상 사업자의 s 시점 업력(연) / 같은 시장의 s 시점 평균 업력. t0 업력이 아닌 s 업력을 분자로 사용.,"s=t0 직전 분기말. 4q 변수는 (b,s], b=s의 4분기 전 분기말.",공공 사업자 원본 정제·재집계,X 후보,대상자가 s 이후 개업했거나 시장 평균 업력이 없거나 0이면 NA.,3802,4.890913,70088,0.0,14.2018950481306
34,sales_qoq,합성 매출 환경,독립변수 후보 X,실수,비율(소수),S_t / S_(t-1) - 1. 전분기 대비 매출 증감률.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,현재/직전 분기 매출 결측 또는 직전 매출=0이면 NA.,0,0.0,2923,-0.6174253463813169,0.31111168812107715
35,sales_trend_4q,합성 매출 환경,독립변수 후보 X,실수,분기당 성장률(소수),"S_(t-3)~S_t의 양수 매출 4개에 자연로그를 취해 시간 0,1,2,3에 OLS 회귀. 기울기 β를 exp(β)-1로 변환한 분기당 추세.",t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,최근 4개 분기 매출에 결측 또는 0이 있으면 NA.,0,0.0,2923,-0.2768393098225104,0.1814060253336632
36,sales_vol_4q,합성 매출 환경,독립변수 후보 X,실수,QoQ 표준편차(소수),S_(t-4)~S_t의 매출 5개에서 QoQ 4개를 계산한 모집단 표준편차(ddof=0). 매출액 자체의 표준편차가 아님.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,매출 5개 중 결측 또는 분모가 되는 앞 4개 매출 중 0이 있으면 NA.,0,0.0,2923,0.0368267079054448,0.5268482771217081
37,sales_drawdown_4q,합성 매출 환경,독립변수 후보 X,실수,비율(소수),"S_t / max(S_(t-3),...,S_t) - 1. 최근 4분기 최고값 대비 현재 하락폭이며 기간 내 최대 낙폭(MDD)이 아님.",t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,최근 4개 분기 매출 결측 또는 최대 매출=0이면 NA.,0,0.0,2903,-0.637992812898832,0.0
38,sales_decline_duration,합성 매출 환경,독립변수 후보 X,정수,분기,현재까지 sales_yoy < 0이 연속된 분기 수. 비하락/결측이면 중단되며 분기 누락 이전 연속성도 잇지 않음. Crisis 연속 횟수가 아님.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,16,1.0,16.0
39,sales_rank_pct,합성 매출 환경,독립변수 후보 X,실수,"백분위 비율 (0,1]",현재 동일 업종의 유효 YoY를 오름차순으로 순위화한 평균 순위/N. 동률은 평균 순위; 값이 작을수록 상대적으로 악화.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,현재 시장의 유효 YoY가 없으면 NA.,0,0.0,291,0.006666666666666667,0.31333333333333335
40,average_ticket,합성 매출 환경,독립변수 후보 X,실수,원/건,S_t / 이용건수. 행정동×업종 단위 합성 원/건 비율이며 대상 사업자의 실제 객단가가 아님.,t0 분기까지의 시장 매출. 4q·전년/직전 분기 범위는 변수 정의 참조.,합성 매출 파생,X 후보,매출 결측 또는 이용건수 결측/0이면 NA.,0,0.0,2923,7633.761902732193,58255.71353846154
41,horizon_end_12M,라벨 및 관측상태,식별·관리,날짜,YYYY-MM-DD,t0에 12개월을 더한 목표 종료일. t0가 월말이므로 종료일도 월말을 보존. Y가 NA여도 날짜는 계산됨.,t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,위기 기준일의 달력 연산,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,40,2017-03-31,2026-12-31
42,Y_12M,라벨 및 관측상태,종속변수 Y,정수(NA 허용),0/1/NA,"12개월 영업지속 라벨. 목표 종료일까지 전체 관측이 확보되면 (t0, 목표 종료일] 폐업=0, 종료일까지 미폐업=1. 기간 부족=NA.",t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,실제 공공 폐업일 + 관측 종료일 가정,목표 Y로만 사용; 다른 기간 모델의 X로 사용 금지,목표 종료일이 2025-12-31보다 늦으면 NA. 조기 폐업이 확인돼도 전체 기간 미확보 시 NA.,4901,6.304672,2,0.0,1.0
43,label_status_12M,라벨 및 관측상태,식별·관리,문자열,상태 코드,"Y_12M의 관측상태. observed이면 0/1 라벨 확정, insufficient_followup이면 전체 기간 부족으로 NA.",t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,실제 공공 폐업일 + 관측 종료일 가정,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2,insufficient_followup,observed
44,horizon_end_18M,라벨 및 관측상태,식별·관리,날짜,YYYY-MM-DD,t0에 18개월을 더한 목표 종료일. t0가 월말이므로 종료일도 월말을 보존. Y가 NA여도 날짜는 계산됨.,t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,위기 기준일의 달력 연산,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,40,2017-09-30,2027-06-30
45,Y_18M,라벨 및 관측상태,종속변수 Y,정수(NA 허용),0/1/NA,"18개월 영업지속 라벨. 목표 종료일까지 전체 관측이 확보되면 (t0, 목표 종료일] 폐업=0, 종료일까지 미폐업=1. 기간 부족=NA.",t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,실제 공공 폐업일 + 관측 종료일 가정,목표 Y로만 사용; 다른 기간 모델의 X로 사용 금지,목표 종료일이 2025-12-31보다 늦으면 NA. 조기 폐업이 확인돼도 전체 기간 미확보 시 NA.,7516,9.668622,2,0.0,1.0
46,label_status_18M,라벨 및 관측상태,식별·관리,문자열,상태 코드,"Y_18M의 관측상태. observed이면 0/1 라벨 확정, insufficient_followup이면 전체 기간 부족으로 NA.",t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,실제 공공 폐업일 + 관측 종료일 가정,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2,insufficient_followup,observed
47,horizon_end_24M,라벨 및 관측상태,식별·관리,날짜,YYYY-MM-DD,t0에 24개월을 더한 목표 종료일. t0가 월말이므로 종료일도 월말을 보존. Y가 NA여도 날짜는 계산됨.,t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,위기 기준일의 달력 연산,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,40,2018-03-31,2027-12-31
48,Y_24M,라벨 및 관측상태,종속변수 Y,정수(NA 허용),0/1/NA,"24개월 영업지속 라벨. 목표 종료일까지 전체 관측이 확보되면 (t0, 목표 종료일] 폐업=0, 종료일까지 미폐업=1. 기간 부족=NA.",t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,실제 공공 폐업일 + 관측 종료일 가정,목표 Y로만 사용; 다른 기간 모델의 X로 사용 금지,목표 종료일이 2025-12-31보다 늦으면 NA. 조기 폐업이 확인돼도 전체 기간 미확보 시 NA.,10463,13.459658,2,0.0,1.0
49,label_status_24M,라벨 및 관측상태,식별·관리,문자열,상태 코드,"Y_24M의 관측상태. observed이면 0/1 라벨 확정, insufficient_followup이면 전체 기간 부족으로 NA.",t0부터 목표 종료일까지. 완전 관측 종료일 가정: 2025-12-31.,실제 공공 폐업일 + 관측 종료일 가정,현재 X 허용목록에서 제외,현재 파일에서는 비결측. 이 명세의 필수 관리값 또는 계산 가능한 값.,0,0.0,2,insufficient_followup,observed
